b0,lp__,Model,bd15,bd30,ba1,ba2
0.7233991952031738,3985.547685225608,C1,NA,NA,NA,NA
0.7224583113630011,3985.864437607878,C1,NA,NA,NA,NA
0.7224971476354389,3987.166223843498,C1,NA,NA,NA,NA
0.7224932395332171,3986.554754039765,C1,NA,NA,NA,NA
0.7211119522781432,3985.2908996323827,C1,NA,NA,NA,NA
0.7222956056345212,3988.272674083627,C1,NA,NA,NA,NA
0.7244720911605856,3984.4830911049758,C1,NA,NA,NA,NA
0.7223215986986253,3980.1203113631864,C1,NA,NA,NA,NA
0.7225936059643217,3987.222262356404,C1,NA,NA,NA,NA
0.7229245252333178,3989.2926567287986,C1,NA,NA,NA,NA
0.7209805750214483,3984.8075357069333,C1,NA,NA,NA,NA
0.7222406485474064,3985.6509613355356,C1,NA,NA,NA,NA
0.7248759798959252,3985.23780928839,C1,NA,NA,NA,NA
0.7200258673640987,3986.79767505877,C1,NA,NA,NA,NA
0.7232013645428842,3986.1835102614714,C1,NA,NA,NA,NA
0.7223260671092919,3987.75695374914,C1,NA,NA,NA,NA
0.7240662744637745,3984.598379199965,C1,NA,NA,NA,NA
0.7218697975794204,3982.0440271808047,C1,NA,NA,NA,NA
0.7220650808746816,3989.1978200162457,C1,NA,NA,NA,NA
0.7226540893473269,3985.2706612829375,C1,NA,NA,NA,NA
0.7216938633500278,3989.519240133624,C1,NA,NA,NA,NA
0.7206913361719635,3985.121524738132,C1,NA,NA,NA,NA
0.7231152131253211,3989.0362857930827,C1,NA,NA,NA,NA
0.7245184311071162,3988.1665682529147,C1,NA,NA,NA,NA
0.7225370980745243,3987.3959301202467,C1,NA,NA,NA,NA
0.723063841550678,3986.420529626504,C1,NA,NA,NA,NA
0.7234932127769136,3984.1312695676907,C1,NA,NA,NA,NA
0.7201116882269181,3985.808738285663,C1,NA,NA,NA,NA
0.7240713734894876,3984.120729548597,C1,NA,NA,NA,NA
0.7215979850961952,3988.0246492259043,C1,NA,NA,NA,NA
0.723290696501958,3987.805673891307,C1,NA,NA,NA,NA
0.7212078925498384,3989.418826287236,C1,NA,NA,NA,NA
0.721039637625261,3988.555230888937,C1,NA,NA,NA,NA
0.722778478384119,3988.8704470614607,C1,NA,NA,NA,NA
0.7197080454559126,3984.113334024198,C1,NA,NA,NA,NA
0.719246832742223,3985.754361457926,C1,NA,NA,NA,NA
0.7225817527278503,3981.602916567223,C1,NA,NA,NA,NA
0.7193274846671199,3985.8631126720015,C1,NA,NA,NA,NA
0.7208616682671354,3988.551547807322,C1,NA,NA,NA,NA
0.7218614103298195,3986.6976319749056,C1,NA,NA,NA,NA
0.7242001360428684,3986.415893365964,C1,NA,NA,NA,NA
0.7237634646308946,3987.7678352290354,C1,NA,NA,NA,NA
0.7212623861282057,3983.897247751735,C1,NA,NA,NA,NA
0.7254632107041409,3986.045209715757,C1,NA,NA,NA,NA
0.7245245231138102,3986.9791900840205,C1,NA,NA,NA,NA
0.7237147069938732,3988.6956628535954,C1,NA,NA,NA,NA
0.7207079342370328,3987.60782409167,C1,NA,NA,NA,NA
0.7210190043846977,3988.383973879868,C1,NA,NA,NA,NA
0.7204861779234195,3980.0146181588166,C1,NA,NA,NA,NA
0.723311606595622,3982.5439696838066,C1,NA,NA,NA,NA
0.7229745929912473,3985.707968577404,C1,NA,NA,NA,NA
0.7239845890152827,3985.4175426346405,C1,NA,NA,NA,NA
0.7215122810753031,3987.435838625298,C1,NA,NA,NA,NA
0.7172613124653772,3982.5889124049104,C1,NA,NA,NA,NA
0.7202789521902572,3986.6969143993047,C1,NA,NA,NA,NA
0.7230744489156408,3987.470628029159,C1,NA,NA,NA,NA
0.7201799330123594,3986.75758076364,C1,NA,NA,NA,NA
0.7234102279267554,3986.911286809682,C1,NA,NA,NA,NA
0.7226019210571252,3985.939142166591,C1,NA,NA,NA,NA
0.7218718633264893,3986.472016253461,C1,NA,NA,NA,NA
0.7205494366655565,3984.733495291641,C1,NA,NA,NA,NA
