theta.1,theta.2,mu.1,mu.2,sigma.1,sigma.2,lp__
0.13933859401145735,0.8606614059885427,0.1428382175675382,0.781527828780517,0.2483975854316609,0.12651593343926673,1137.2266478253302
0.14947190600626203,0.850528093993738,0.16030030527228234,0.7792169269105055,0.24610391025762232,0.12106392661806865,1140.8744333763452
0.16243346270221748,0.8375665372977825,0.17810022332997136,0.7868946301261637,0.25839362763806073,0.12164351346535478,1143.6817447581432
0.15779598459303862,0.8422040154069614,0.18543080799161596,0.7832580073318101,0.281606154130816,0.12254835196746068,1142.3065399006314
0.14935098117779258,0.8506490188222074,0.18243014428354876,0.785894458032806,0.2780019210195014,0.11889843492630668,1139.3540159419867
0.16150940431742256,0.8384905956825774,0.1678798399948866,0.7855078706440668,0.25718894166735473,0.12199529127726916,1144.1440262266349
0.16229281597587483,0.8377071840241251,0.18181714746445704,0.7886505598573046,0.2811623130549375,0.12090070111239905,1141.4392375465009
0.15565861178451967,0.8443413882154803,0.17979088319294367,0.7888435705771558,0.2842128499332276,0.12140732525888184,1139.1683582656872
0.16256862466641267,0.8374313753335874,0.1670495392929981,0.7840517587770262,0.26332910629676415,0.12135245866377187,1144.27666256627
0.15423839564593622,0.8457616043540638,0.18421484171913993,0.7803601226105393,0.2469128392841753,0.12170720674822458,1139.6998015941329
0.1813756181233299,0.8186243818766701,0.21344552676864137,0.7870573137762825,0.28919264926734706,0.12025938073457983,1140.5136660676708
0.1617343769040713,0.8382656230959287,0.1806088186982187,0.7827391198064959,0.2513613985851578,0.12161903220363783,1142.858561576606
0.16273028714627769,0.8372697128537223,0.19719548987229657,0.7867532351350579,0.27628937518799607,0.12016965272651081,1143.8852732205735
0.16402465663651405,0.835975343363486,0.18468114544347347,0.7874455141767567,0.26016405702262424,0.1214585793398436,1143.2062609758984
0.1577754373805107,0.8422245626194893,0.19936104870478982,0.7841638195403386,0.292374615015718,0.1198497856852217,1140.1213886941027
0.1562037950529301,0.8437962049470699,0.17799037907243137,0.7805405995673544,0.26202530095170734,0.12201398820728776,1142.9598689919321
0.1651251190245883,0.8348748809754117,0.1594452515311104,0.7827257494923183,0.2712787265145828,0.12073432874862786,1141.2422489160156
0.15573223428944097,0.8442677657105591,0.1544382453391435,0.7841050069401118,0.2625072955917422,0.12104828344460636,1143.3871749102636
0.1601793568294072,0.8398206431705928,0.16635664117813964,0.7847094058403842,0.2760663993401141,0.12176030082053223,1142.764509640683
0.1507433226132102,0.8492566773867898,0.14889360821945194,0.7810897810412037,0.2483842783246149,0.12184193330472333,1143.0124210215693
0.1639139109392265,0.8360860890607735,0.1877764558087026,0.7832827311899283,0.2754337125144126,0.12133850080631112,1143.980763542276
0.16764294616408365,0.8323570538359164,0.18625415568910028,0.7865597502546251,0.27184992591230256,0.11986954682634075,1143.7955933192738
0.15171568426176696,0.848284315738233,0.1737287764724383,0.7849256438778113,0.2419924045221397,0.12353230780772881,1140.8722817658331
0.16641368194079667,0.8335863180592034,0.2050490324140597,0.7879262814006743,0.284034029470695,0.12020721808929324,1142.7165114099307
0.1538373045164449,0.846162695483555,0.17797472959099897,0.7813622309624999,0.2641032820671201,0.11948243899958191,1142.078662897724
