Age,Index,A,M,L,U
85,LE,6.415340607054825,6.415340607054825,6.415340607054825,6.415340607054825
85,QALE1,4.415558514195875,4.418464692398997,4.364953216393353,4.447856731148245
85,QALE0,4.462499562838128,4.462499562838128,4.462499562838128,4.462499562838128
85,QL00,0.046941048642253465,0.044034870439131915,0.014642831689883923,0.09754634644477533
85,QL15,0.046848627988294055,0.043960083111018636,0.014616766325341665,0.09736080338865866
85,QL35,0.04673010676935662,0.043864119365375334,0.014583322374017948,0.09712279941993542
85,QLH00,0.14593917527803396,0.14507611098222084,0.0786277815761542,0.21444089255658572
85,QLH15,0.14564528602137128,0.1448243851400593,0.07844708119806791,0.2140239458295946
85,QLH35,0.14526843810210116,0.14445186785078912,0.07825545597197332,0.21348916671201432
86,LE,5.945433699924451,5.945433699924451,5.945433699924451,5.945433699924451
86,QALE1,4.068795956479401,4.071383546267017,4.019401940143645,4.10056623070517
86,QALE0,4.114932636892031,4.114932636892031,4.114932636892031,4.114932636892031
86,QL00,0.04613668041262977,0.043549090625013887,0.014366406186861082,0.09553069674838612
86,QL15,0.04604507416426143,0.04346423291473154,0.014340792621743516,0.09537178453628632
86,QL35,0.045927601493782715,0.04335539480304834,0.014307928373902636,0.09516783093591609
86,QLH00,0.14623547659462335,0.14533675141170033,0.07889667035803642,0.21549052323780418
86,QLH15,0.14593851132998892,0.14499763184556308,0.0787124747266722,0.21496155784878093
86,QLH35,0.14555773293487517,0.14461379028857135,0.07847642654930283,0.21428386552428463
87,LE,5.50206952942888,5.50206952942888,5.50206952942888,5.50206952942888
87,QALE1,3.7430607716811117,3.7454955219729773,3.6947964217666462,3.774297165600636
87,QALE0,3.7883704501194164,3.7883704501194164,3.7883704501194164,3.7883704501194164
87,QL00,0.045309678438304836,0.042874928146439256,0.014073284518780295,0.09357402835277001
87,QL15,0.045219113483262394,0.042799493490124955,0.014048196077588417,0.0933402979223754
87,QL35,0.04510297917373131,0.042697456812084644,0.014016005386195395,0.09304087590090246
87,QLH00,0.14641106642796362,0.14549640290000385,0.07899055319046268,0.21648686978981285
87,QLH15,0.14611175930669726,0.14523829582131553,0.07881975437771148,0.21594869740947814
87,QLH35,0.14572798879175253,0.14491139232248423,0.07860079047271204,0.21525924990489406
88,LE,5.084529226296537,5.084529226296537,5.084529226296537,5.084529226296537
88,QALE1,3.437712417942539,3.4396839211839336,3.39034262012278,3.4684087105124917
88,QALE0,3.482172402702206,3.482172402702206,3.482172402702206,3.482172402702206
88,QL00,0.04445998475966692,0.04248848151827232,0.013763692189714433,0.09182978257942571
88,QL15,0.04437071127109902,0.042405439213996615,0.013739201207369513,0.09165223365772772
88,QL35,0.04425623511769192,0.04229569026209389,0.013707776653649783,0.09142449664281697
88,QLH00,0.14646151239599428,0.1456162455976251,0.07921914939389588,0.21728029286689565
88,QLH15,0.14616065862646088,0.14532664624177102,0.07904068464600476,0.21673440857548693
88,QLH35,0.1457749121046252,0.14495523305520663,0.07879926521918318,0.21603511404096623
89,LE,4.691502869402785,4.691502869402785,4.691502869402785,4.691502869402785
89,QALE1,3.151725378817207,3.153518733635623,3.105598396056974,3.1818618977367232
89,QALE0,3.195299618086542,3.195299618086542,3.195299618086542,3.195299618086542
89,QL00,0.04357423926933488,0.041780884450919015,0.013437720349818596,0.08970122202956828
89,QL15,0.04348649667303547,0.04169279287808078,0.013413899296212851,0.08952805723976472
89,QL35,0.04337398447725149,0.04158321060339352,0.013383333636187565,0.08930594028178077
89,QLH00,0.14637640821903405,0.1456817443359825,0.07928564571771057,0.2175944636989107
89,QLH15,0.1460748874632823,0.14539332683065226,0.07909627925547945,0.21724601777884556
89,QLH35,0.1456882888499531,0.1449513854454425,0.07885362542046788,0.21658721166481756
90,LE,4.321475675838989,4.321475675838989,4.321475675838989,4.321475675838989
90,QALE1,2.8839188849382764,2.885838906880211,2.8391249565265397,2.9134862366952703
90,QALE0,2.9265818457276223,2.9265818457276223,2.9265818457276223,2.9265818457276223
90,QL00,0.0426629607893455,0.040742938847410926,0.013095609032352159,0.08745688920108176
90,QL15,0.04257699992581873,0.04066540750688717,0.013072530236626004,0.08728868251198524
90,QL35,0.042466772151956426,0.040565971625552644,0.013042916061257159,0.08707291989704674
90,QLH00,0.14614406313313077,0.14542511396360192,0.07925701472587385,0.21690863867515886
