Age,rate_A,rate_M,rate_L,rate_U,dur_A,dur_M,dur_L,dur_U,QL00_A,QL00_M,QL00_L,QL00_U,QL15_A,QL15_M,QL15_L,QL15_U,QL35_A,QL35_M,QL35_L,QL35_U
60,3.0011810405338677,3.000135760816631,2.8123209300073087,3.2098614989117222,0.3335486620040481,0.33331824952853367,0.31153992932460794,0.35557819575083505,0.046270926955392935,0.04625353023201548,0.042379048633340764,0.05058302178094273,0.04607580123124506,0.046059106731166234,0.0422181554697522,0.05036079931208574,0.04581859773747382,0.04579701205353082,0.04200614506118373,0.050067919224605774
61,2.9855940644392773,2.98445962270534,2.8000913175104216,3.189091655082585,0.33528011996784607,0.33506903321356046,0.31356893266067354,0.3571312104339233,0.045881586263028795,0.04584690280879462,0.0420773693456489,0.05017009122847781,0.04568731632300288,0.04565058748950464,0.041901125719954434,0.04994571582240237,0.04543125573327883,0.04539478917625904,0.041689838835741184,0.04965008633114484
62,2.9701094460414037,2.9686894896196296,2.78888674501447,3.1708250614707243,0.33702297999313574,0.33684897135258685,0.31537533265228884,0.35856601270758115,0.04549693225518738,0.04546804258956187,0.04170025769704529,0.04978957808328024,0.04530350599994074,0.04527441864326577,0.04152796571281482,0.04956293329636012,0.04504857241393872,0.0450181387764584,0.04130084280788976,0.04926443393719178
63,2.9547264307173213,2.9533185030298874,2.778354780980765,3.152023072336542,0.3387773265733014,0.3386021520350092,0.3172565665812833,0.3599252368783256,0.045116226753233166,0.04507027646260375,0.04123989390879683,0.04937616313084753,0.044923635486993296,0.044880017548277126,0.04107104713290377,0.04915059168654308,0.044669817491773595,0.04463103162420392,0.040848425130051796,0.04885352215264527
64,2.939444269949354,2.9389014298943446,2.7669389740026342,3.1289585858842988,0.34054324489005716,0.34026321100691603,0.3195951611170012,0.3614102122323302,0.04473946824546672,0.044717764940619666,0.040866473753089445,0.048966063307563715,0.04454770315627468,0.04452887086921338,0.04069510271588339,0.04874147062585246,0.044294989187441944,0.04427952455878005,0.040469166560651,0.048445708205869124
65,2.9242622212720333,2.923425381032451,2.7507057026454516,3.1126156279249373,0.34232082081947685,0.34206448591305627,0.32127320680066745,0.36354307371452216,0.044366778943998916,0.044348397219436717,0.0404534174415897,0.048657112453800014,0.04417583049408055,0.044161086471377335,0.04029126326766355,0.04843173487187394,0.043924208032634415,0.04391405468244369,0.040077422897578735,0.04813494448084768
66,2.9091795482195457,2.909160257933017,2.734078716338583,3.1034884715836415,0.34411014093808057,0.34374180620398725,0.3222180489410691,0.36575395831060314,0.043997585664190354,0.043994763919582985,0.040036127938859516,0.04822274577336268,0.04380744700204593,0.043801250002932515,0.039865760338815004,0.048002340753992345,0.043556907070021536,0.043547684413877394,0.03965683951922855,0.04771153037264119
67,2.894195520273664,2.892325881679506,2.7125091877602214,3.0931655600299726,0.34591129252897757,0.3457425069051514,0.3232934298670904,0.36866235533591246,0.04363130306589143,0.043628856309099406,0.039668138772839326,0.04777155759274372,0.0434419701446924,0.04344174902458788,0.039509825282236705,0.047552741771402694,0.04319250746027436,0.04318034793983942,0.03930139983093158,0.047264888445104215
68,2.879309412812156,2.8765898119341395,2.6971441429404157,3.0857601932877388,0.34772436358806635,0.3476338541672871,0.32406926109237405,0.3707625351899778,0.043267333449830254,0.043241984160676844,0.039254547671412246,0.04739402303917814,0.043078805149856084,0.04305401556393307,0.03910303316264112,0.04717834705557626,0.04283041828773772,0.042801831983707544,0.03890000471506388,0.046894036173540064
69,2.8645205070576685,2.8617086432311964,2.6741221880996395,3.07353989887301,0.3495494428302924,0.34944158357231936,0.325357744607135,0.37395449036660283,0.042905066550920724,0.04286759900682048,0.0388801427978083,0.04707061655953395,0.04271734480615813,0.04267615945770758,0.03872961196645696,0.04686519750587322,0.04247003636330246,0.042430769184000704,0.03853127061351214,0.04658373588884199
