Age,"From population norm, d = 0%","From population norm, d = 15%","From perfect health, d = 0%","From perfect health, d = 15%"
73,0.037 (0.032 - 0.042),0.036 (0.032 - 0.042),0.119 (0.108 - 0.131),0.119 (0.108 - 0.131)
74,0.036 (0.031 - 0.041),0.035 (0.031 - 0.041),0.120 (0.109 - 0.132),0.120 (0.108 - 0.132)
75,0.034 (0.030 - 0.040),0.034 (0.030 - 0.040),0.121 (0.109 - 0.134),0.121 (0.109 - 0.134)
76,0.033 (0.029 - 0.039),0.033 (0.029 - 0.039),0.122 (0.110 - 0.135),0.122 (0.110 - 0.135)
77,0.032 (0.028 - 0.037),0.032 (0.028 - 0.037),0.123 (0.110 - 0.137),0.123 (0.110 - 0.137)
78,0.031 (0.026 - 0.036),0.031 (0.026 - 0.036),0.124 (0.111 - 0.139),0.124 (0.111 - 0.138)
79,0.030 (0.025 - 0.035),0.030 (0.025 - 0.035),0.125 (0.112 - 0.140),0.125 (0.112 - 0.140)
80,0.029 (0.025 - 0.034),0.029 (0.025 - 0.034),0.126 (0.112 - 0.141),0.126 (0.112 - 0.141)
81,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.127 (0.112 - 0.143),0.126 (0.112 - 0.143)
82,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.127 (0.113 - 0.144),0.127 (0.112 - 0.144)
83,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.128 (0.113 - 0.145),0.128 (0.113 - 0.145)
84,0.029 (0.024 - 0.034),0.029 (0.024 - 0.034),0.129 (0.113 - 0.147),0.128 (0.113 - 0.146)
85,0.028 (0.024 - 0.034),0.028 (0.024 - 0.034),0.129 (0.113 - 0.148),0.129 (0.113 - 0.147)
86,0.028 (0.024 - 0.034),0.028 (0.024 - 0.034),0.130 (0.113 - 0.148),0.129 (0.113 - 0.148)
87,0.028 (0.024 - 0.034),0.028 (0.023 - 0.034),0.130 (0.113 - 0.149),0.130 (0.113 - 0.149)
88,0.028 (0.023 - 0.034),0.028 (0.023 - 0.033),0.130 (0.113 - 0.150),0.130 (0.112 - 0.149)
89,0.028 (0.023 - 0.033),0.028 (0.023 - 0.033),0.130 (0.112 - 0.150),0.130 (0.112 - 0.150)
90,0.027 (0.023 - 0.033),0.027 (0.023 - 0.033),0.130 (0.112 - 0.150),0.130 (0.112 - 0.150)
91,0.027 (0.023 - 0.033),0.027 (0.022 - 0.033),0.130 (0.111 - 0.151),0.130 (0.111 - 0.150)
92,0.027 (0.022 - 0.032),0.027 (0.022 - 0.032),0.130 (0.110 - 0.151),0.129 (0.110 - 0.150)
93,0.026 (0.022 - 0.032),0.026 (0.022 - 0.032),0.129 (0.109 - 0.150),0.129 (0.109 - 0.150)
94,0.026 (0.022 - 0.031),0.026 (0.021 - 0.031),0.128 (0.109 - 0.150),0.128 (0.108 - 0.150)
95,0.026 (0.021 - 0.031),0.025 (0.021 - 0.031),0.127 (0.108 - 0.149),0.127 (0.108 - 0.149)
96,0.025 (0.021 - 0.030),0.025 (0.021 - 0.030),0.126 (0.107 - 0.148),0.126 (0.107 - 0.148)
97,0.025 (0.020 - 0.030),0.024 (0.020 - 0.030),0.125 (0.105 - 0.146),0.125 (0.105 - 0.146)
98,0.024 (0.020 - 0.029),0.024 (0.020 - 0.029),0.122 (0.103 - 0.142),0.122 (0.103 - 0.142)
