study,proxy,Source,Age,norm,Country,norm_leoss
Drolet et al. 2010,Canada,Poder et al.,83,0.803,Canada,0.8111150733469757
Drolet et al. 2010,Canada,Poder et al.,84,0.803,Canada,0.8103477755093348
Drolet et al. 2010,Canada,Poder et al.,85,0.803,Canada,0.8095442905167953
Drolet et al. 2010,Canada,Poder et al.,86,0.803,Canada,0.8087135630890739
Drolet et al. 2010,Canada,Poder et al.,87,0.803,Canada,0.8078645379458859
Drolet et al. 2010,Canada,Poder et al.,88,0.803,Canada,0.8070061598069476
Drolet et al. 2010,Canada,Poder et al.,89,0.803,Canada,0.8061473733919748
Drolet et al. 2010,Canada,Poder et al.,90,0.803,Canada,0.8052971234206836
Drolet et al. 2010,Canada,Poder et al.,91,0.803,Canada,0.804456156411121
Drolet et al. 2010,Canada,Poder et al.,92,0.803,Canada,0.8036170337221625
Drolet et al. 2010,Canada,Poder et al.,93,0.803,Canada,0.8027764223347665
Drolet et al. 2010,Canada,Poder et al.,94,0.803,Canada,0.8019309892298918
Drolet et al. 2010,Canada,Poder et al.,95,0.803,Canada,0.8010774013884966
Drolet et al. 2010,Canada,Poder et al.,96,0.803,Canada,0.8002123257915393
Drolet et al. 2010,Canada,Poder et al.,97,0.803,Canada,0.7993324294199784
Drolet et al. 2010,Canada,Poder et al.,98,0.803,Canada,0.7984343792547725
Drolet et al. 2010,Canada,Poder et al.,99,0.803,Canada,0.7975148422768799
Drolet et al. 2010,Canada,Poder et al.,100,0.803,Canada,0.7965704854672594
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,18,0.907,Argentina,0.9096516110413574
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,19,0.907,Argentina,0.9079451897089472
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,20,0.907,Argentina,0.9062230114037858
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,21,0.907,Argentina,0.9044857313377159
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,22,0.907,Argentina,0.9027340047225808
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,23,0.907,Argentina,0.9009684867702233
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,24,0.907,Argentina,0.8991898326924868
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,25,0.889,Argentina,0.8973986977012142
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,26,0.889,Argentina,0.8955957370082483
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,27,0.889,Argentina,0.8937816058254328
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,28,0.889,Argentina,0.8919569593646102
Rampakakis et al. 2017 Argentina,Argentina,Janssen et al.,29,0.889,Argentina,0.8901243637659441
